product_category_name_english,order_year,order_month,category_items,category_orders,category_gmv,category_freight
musical_instruments,2017,2017-06,19,16,4303.05,456.7
office_furniture,2017,2017-06,48,43,6859.149999999997,1673.69
perfumery,2017,2017-06,154,146,24438.100000000024,2500.4800000000005
pet_shop,2017,2017-06,63,60,5023.669999999995,1118.8300000000002
signaling_and_security,2017,2017-06,2,2,273.9,71.5
small_appliances,2017,2017-06,18,18,3109.81,364.53000000000003
small_appliances_home_oven_and_coffee,2017,2017-06,1,1,71.9,16.75
sports_leisure,2017,2017-06,268,241,24655.44000000004,5072.990000000001
stationery,2017,2017-06,38,37,3493.5700000000015,682.4800000000001
tablets_printing_image,2017,2017-06,6,6,594.0,85.16999999999999
telephony,2017,2017-06,160,151,6757.619999999985,2419.7799999999966
toys,2017,2017-06,157,151,14747.349999999975,2743.6399999999994
watches_gifts,2017,2017-06,112,106,17524.299999999992,1705.009999999999
NULL,2017,2017-06,63,55,4498.779999999999,965.24
air_conditioning,2017,2017-07,5,5,1396.1,97.03
art,2017,2017-07,3,3,386.75,38.15
arts_and_craftmanship,2017,2017-07,1,1,129.9,15.66
audio,2017,2017-07,7,7,771.6899999999999,111.53999999999999
auto,2017,2017-07,115,104,10119.759999999991,2310.0400000000004
baby,2017,2017-07,125,120,13135.219999999978,2233.7799999999993
bed_bath_table,2017,2017-07,576,511,63305.67000000026,10425.650000000027
books_general_interest,2017,2017-07,13,12,1292.4,252.87999999999997
books_technical,2017,2017-07,2,2,528.0,52.88
cds_dvds_musicals,2017,2017-07,5,4,225.0,74.38
christmas_supplies,2017,2017-07,2,2,65.09,32.96
computers_accessories,2017,2017-07,320,268,32177.510000000126,5632.210000000005
consoles_games,2017,2017-07,47,45,4675.169999999997,839.8500000000006
construction_tools_construction,2017,2017-07,6,5,549.4399999999999,273.53
construction_tools_lights,2017,2017-07,1,1,360.0,41.45
cool_stuff,2017,2017-07,225,217,34312.98000000014,4527.919999999995
costruction_tools_garden,2017,2017-07,8,7,347.58000000000004,125.78999999999999
drinks,2017,2017-07,3,2,273.97,74.11
dvds_blu_ray,2017,2017-07,3,3,50.699999999999996,60.64
electronics,2017,2017-07,96,86,6646.939999999998,1673.8999999999996
fashio_female_clothing,2017,2017-07,4,4,310.70000000000005,53.7
fashion_bags_accessories,2017,2017-07,88,82,5193.099999999998,1274.4499999999994
fashion_male_clothing,2017,2017-07,9,8,719.99,140.34
fashion_shoes,2017,2017-07,20,19,1423.0099999999998,337.68999999999994
fashion_sport,2017,2017-07,1,1,69.9,7.78
fashion_underwear_beach,2017,2017-07,3,3,274.8,39.68
fixed_telephony,2017,2017-07,9,8,218.73000000000002,129.54
food,2017,2017-07,7,7,584.1600000000001,170.03
food_drink,2017,2017-07,8,7,168.20000000000002,93.47999999999999
furniture_bedroom,2017,2017-07,2,2,559.99,69.85
furniture_decor,2017,2017-07,317,250,24043.970000000074,5660.5799999999945
furniture_living_room,2017,2017-07,30,26,3826.12,912.6099999999999
garden_tools,2017,2017-07,186,156,16953.019999999975,3821.2700000000036
health_beauty,2017,2017-07,308,271,26239.81000000007,4809.850000000001
home_appliances,2017,2017-07,35,35,2390.940000000001,547.1700000000001
home_appliances_2,2017,2017-07,6,6,874.99,203.07
home_comfort_2,2017,2017-07,1,1,12.9,15.1
home_confort,2017,2017-07,43,36,4563.85,837.5800000000003
home_construction,2017,2017-07,2,1,93.6,30.2
housewares,2017,2017-07,274,223,20144.399999999998,4584.130000000001
industry_commerce_and_business,2017,2017-07,1,1,99.99,16.14
kitchen_dining_laundry_garden_furniture,2017,2017-07,10,8,847.5,250.79999999999998
